id,first_name,last_name,birth_date,email,is_senior,address
25c3e914-b64c-4c82-a776-428a0df277ad,Louise,Berger,1966-01-09,susannefontaine@example.org,False,"2, chemin Audrey Deschamps
94713 Bazin-sur-Mer"
6cc41efb-d9d6-4480-b39b-12c54b01148f,Claudine,Hervé,1947-08-10,iclement@example.net,True,"59, rue Maillard
11194 Navarro-sur-Morel"
748a1f2a-1e40-4845-a65b-c82e9e664331,Lorraine,De Sousa,1970-04-20,navarrosusanne@example.net,False,"72, boulevard Evrard
29938 Coulonboeuf"
62af2dc7-8871-467c-8ab9-e817ff571878,Franck,Lebreton,2007-04-14,chauvintheodore@example.net,False,"54, rue Caron
40437 Duval"
d66e81fc-da9a-48e1-ae1b-2d1f6463a636,Mathilde,Michaud,1955-05-10,xmercier@example.com,True,"40, rue de Camus
30440 Roydan"
a1deb7d0-8cf9-4d0c-a931-ba0ed041ea02,Anaïs,Millet,1986-12-27,charles57@example.com,False,"4, chemin de Godard
54826 Sainte Rémy"
082d6857-0aef-47ad-94d2-12b8af856b57,Gabriel,Munoz,1994-05-01,ythomas@example.com,False,"70, rue Mercier
91968 Boulanger"
1ffa9d26-dd82-4fba-ab0e-0a3a275effc6,Alfred,Dufour,1950-10-07,pichonalix@example.com,True,"23, avenue Nicole Riou
58381 Pineau"
48d16e09-aad9-4318-a573-970ef8ce259f,Yves,Clerc,1983-07-22,verdierhenri@example.net,False,"49, boulevard Émilie Barthelemy
60815 Millet"
53e80cba-e0ea-484b-bae3-eda84191bf19,Luc,Perez,1985-01-11,christianeguillet@example.net,False,"613, rue de Guyon
92200 Saint Colette"
b4aca1fc-ce58-4242-bab9-b517d2ac2a10,Eugène,Hebert,2005-07-30,marteljacqueline@example.net,False,"boulevard de Poulain
40436 Barbier"
fac1313a-ae65-4773-aca1-8fd374c25456,Alex,Lemaire,1943-10-19,manonmarin@example.com,True,"20, rue Pénélope Jacquet
35609 Sainte Martin-la-Forêt"
3ac759cf-d2b0-4a9e-b712-a294e142d597,Jeanne,Meyer,1983-05-03,guillaume47@example.org,False,"47, rue de Girard
37601 Robert-sur-Pichon"
5f1c092e-a934-4abd-9e71-9ed8d58ab35f,Alix,Julien,1989-02-18,omace@example.com,False,"20, rue Charles
12338 Camus"
c144f090-3042-4fe5-845d-47723fa3c115,Luc,Girard,1941-03-12,simonefrancois@example.org,True,"12, rue David
82790 Léger"
8864b27a-e12b-4836-9c66-6dad2ca48cc8,Laure,Valentin,1949-06-05,lemaitrehortense@example.org,True,"78, avenue de Gilbert
37843 Sainte Geneviève"
aa0ab294-2fec-4dff-ab8f-bc8e4d5847bb,Françoise,Voisin,1962-02-17,camille81@example.org,False,"260, boulevard Torres
66518 Michaudnec"
69fb5146-b435-4bb0-89b3-416ba6d15d47,Franck,Alexandre,1965-07-23,julienmartineau@example.org,False,"chemin Grégoire
87637 Devaux"
a6a45bca-d46a-4342-862f-d60c8b4b81fc,Jacques,Bailly,1989-04-27,lambertchristophe@example.net,False,"310, boulevard Virginie Seguin
18250 Brunboeuf"
aff8ea7b-48d4-4cf1-a153-f524158809d3,Margaux,Moreau,1933-12-20,qjoseph@example.org,True,"6, boulevard Masse
83251 Chauvin"
0c423f56-05ba-4f58-bb40-d8dc551382c2,Susan,Maillot,2001-01-11,mathildejacques@example.com,False,"35, rue de Schneider
97652 Sainte Claude-la-Forêt"
99e0ec70-5697-41c0-9283-6fc0c8eabde0,Suzanne,Morin,1978-04-28,antoine56@example.org,False,"71, avenue Gros
82956 Gomez"
db1ea6d8-d86a-41e5-8e70-4f2ff724b5b2,Laurence,Leduc,1984-01-15,augustebesnard@example.org,False,"470, chemin de Pons
93237 Lagarde-les-Bains"
